epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,22069.5,1.13231,1.02572,0.91045,0.85425,0.91875,0.93704,0.53234,1.41161,0.94744,0.94741,0.00017682,0.00017682,0.00017682
86,22383.6,1.12407,0.95905,0.90184,0.85425,0.91875,0.93704,0.53234,1.41161,0.94744,0.94741,0.000168406,0.000168406,0.000168406
87,22656.4,1.01969,0.85069,0.89938,0.85425,0.91875,0.93704,0.53234,1.41161,0.94744,0.94741,0.000159745,0.000159745,0.000159745
88,22977.6,0.99555,1.2474,0.88358,0.87766,0.92532,0.91151,0.51638,1.40914,0.89535,0.94458,0.000150836,0.000150836,0.000150836
89,23291.5,1.03282,1.03098,0.88955,0.87766,0.92532,0.91151,0.51638,1.40914,0.89535,0.94458,0.00014168,0.00014168,0.00014168
90,23615.2,1.0791,0.94768,0.88347,0.87766,0.92532,0.91151,0.51638,1.40914,0.89535,0.94458,0.000132276,0.000132276,0.000132276
91,23923.6,0.97456,0.93925,0.84339,0.87766,0.92532,0.91151,0.51638,1.40914,0.89535,0.94458,0.000122625,0.000122625,0.000122625
92,24194,1.11974,1.07706,0.85389,0.80713,0.95251,0.859,0.50466,1.36892,0.91303,0.94311,0.000112726,0.000112726,0.000112726
93,24523.6,0.9361,0.89325,0.8575,0.80713,0.95251,0.859,0.50466,1.36892,0.91303,0.94311,0.00010258,0.00010258,0.00010258
94,24847,1.11657,0.90649,0.89098,0.80713,0.95251,0.859,0.50466,1.36892,0.91303,0.94311,9.21862e-05,9.21862e-05,9.21862e-05
95,25123,1.04446,0.9101,0.89009,0.80713,0.95251,0.859,0.50466,1.36892,0.91303,0.94311,8.1545e-05,8.1545e-05,8.1545e-05
96,25396.1,0.92432,0.90073,0.87504,0.8885,0.9679,0.93707,0.55394,1.33831,0.79394,0.93992,7.06563e-05,7.06563e-05,7.06563e-05
97,25646.3,0.92761,0.76876,0.88808,0.8885,0.9679,0.93707,0.55394,1.33831,0.79394,0.93992,5.952e-05,5.952e-05,5.952e-05
98,25879.6,0.95628,0.77418,0.89234,0.8885,0.9679,0.93707,0.55394,1.33831,0.79394,0.93992,4.81363e-05,4.81363e-05,4.81363e-05
99,26140.8,0.94993,0.83893,0.88365,0.8885,0.9679,0.93707,0.55394,1.33831,0.79394,0.93992,3.6505e-05,3.6505e-05,3.6505e-05
100,26396.9,1.1088,0.8746,0.95665,0.92093,0.97077,0.94239,0.5594,1.32684,0.74855,0.93767,2.46263e-05,2.46263e-05,2.46263e-05
